#pb obsmode magsys magzero
F275W WFC3,UVIS2,F275W abmag 0.
F336W WFC3,UVIS2,F336W abmag 0.
F475W WFC3,UVIS2,F475W abmag 0.
F625W WFC3,UVIS2,F625W abmag 0.
F775W WFC3,UVIS2,F775W abmag 0.
F160W WFC3,IR,F160W abmag 0.
ps1g passbands/PS1/g_filt_revised.txt abmag 0.
ps1r passbands/PS1/r_filt_tonry.txt abmag 0.
ps1i passbands/PS1/i_filt_tonry.txt abmag 0.
ps1z passbands/PS1/z_filt_tonry.txt abmag 0.
ps1y passbands/PS1/y_filt_tonry.txt abmag 0.
sdssu passbands/SDSS/sdss_u.dat abmag 0.
sdssg passbands/SDSS/sdss_g.dat abmag 0.
sdssr passbands/SDSS/sdss_r.dat abmag 0.
sdssi passbands/SDSS/sdss_i.dat abmag 0.
sdssz passbands/SDSS/sdss_z.dat abmag 0.
decamu passbands/DECam/decam_u.txt abmag 0.
decamg passbands/DECam/decam_g.txt abmag 0.
decamr passbands/DECam/decam_r.txt abmag 0.
decami passbands/DECam/decam_i.txt abmag 0.
decamz passbands/DECam/decam_z.txt abmag 0.
decamy passbands/DECam/decam_y.txt abmag 0.
gaia_g passbands/Gaia/gaia_g.dat vegamag 0.
gaia_bp passbands/Gaia/gaia_bp.dat vegamag 0.
gaia_rp passbands/Gaia/gaia_rp.dat vegamag 0.
LS_bass_g  passbands/LegacySurvey/bass-g.am1p1.conv.dat abmag 0.
LS_bass_r  passbands/LegacySurvey/bass-r.am1p1.conv.dat abmag 0.
LS_DECam_u passbands/LegacySurvey/decam.u.am1p4.dat abmag 0.
LS_DECam_g passbands/LegacySurvey/decam.g.am1p4.dat abmag 0.
LS_DECam_r passbands/LegacySurvey/decam.r.am1p4.dat abmag 0.
LS_DECam_i passbands/LegacySurvey/decam.i.am1p4.dat abmag 0.
LS_DECam_z passbands/LegacySurvey/decam.z.am1p4.dat abmag 0.
LS_DECam_Y passbands/LegacySurvey/decam.Y.am1p4.dat abmag 0.
LS_KP_z    passbands/LegacySurvey/kpzdccdcorr3.am1p1.conv.dat abmag 0.
