# 90Prime SDSS filter curve, airmass       1.10000, CCD QE
      5460.00      0.00000
      5470.00      0.00000
      5480.00      0.00000
      5490.00      0.00000
      5500.00      0.00000
      5510.00      0.00000
      5520.00      0.00000
      5530.00      0.00000
      5540.00      0.00000
      5550.00      0.00000
      5560.00  0.000860821
      5570.00  0.000861021
      5580.00   0.00172234
      5590.00   0.00172258
      5600.00   0.00344558
      5610.00   0.00516890
      5620.00   0.00947718
      5630.00    0.0163711
      5640.00    0.0292983
      5650.00    0.0534312
      5660.00    0.0965304
      5670.00     0.164637
      5680.00     0.259485
      5690.00     0.368155
      5700.00     0.469967
      5710.00     0.553705
      5720.00     0.615040
      5730.00     0.656560
      5740.00     0.683457
      5750.00     0.699199
      5760.00     0.706397
      5770.00     0.708526
      5780.00     0.709061
      5790.00     0.708000
      5800.00     0.707901
      5810.00     0.709585
      5820.00     0.712151
      5830.00     0.716428
      5840.00     0.720638
      5850.00     0.723883
      5860.00     0.726944
      5870.00     0.727674
      5880.00     0.726604
      5890.00     0.724687
      5900.00     0.724799
      5910.00     0.724528
      5920.00     0.724921
      5930.00     0.726169
      5940.00     0.725872
      5950.00     0.725010
      5960.00     0.724798
      5970.00     0.723439
      5980.00     0.722042
      5990.00     0.719862
      6000.00     0.718601
      6010.00     0.718154
      6020.00     0.718401
      6030.00     0.718550
      6040.00     0.720472
      6050.00     0.721595
      6060.00     0.723688
      6070.00     0.724129
      6080.00     0.725534
      6090.00     0.725252
      6100.00     0.725896
      6110.00     0.725693
      6120.00     0.726379
      6130.00     0.727059
      6140.00     0.728589
      6150.00     0.729195
      6160.00     0.728890
      6170.00     0.728569
      6180.00     0.726474
      6190.00     0.724368
      6200.00     0.720482
      6210.00     0.716587
      6220.00     0.712684
      6230.00     0.708776
      6240.00     0.706626
      6250.00     0.706077
      6260.00     0.705230
      6270.00     0.703359
      6280.00     0.702539
      6290.00     0.706948
      6300.00     0.713921
      6310.00     0.719949
      6320.00     0.724741
      6330.00     0.728176
      6340.00     0.731138
      6350.00     0.732081
      6360.00     0.732951
      6370.00     0.733765
      6380.00     0.733621
      6390.00     0.733427
      6400.00     0.733226
      6410.00     0.732950
      6420.00     0.733509
      6430.00     0.733159
      6440.00     0.732753
      6450.00     0.732063
      6460.00     0.730779
      6470.00     0.729051
      6480.00     0.727978
      6490.00     0.729126
      6500.00     0.729677
      6510.00     0.730076
      6520.00     0.730480
      6530.00     0.732591
      6540.00     0.733210
      6550.00     0.733380
      6560.00     0.733887
      6570.00     0.734757
      6580.00     0.734867
      6590.00     0.734848
      6600.00     0.733580
      6610.00     0.732066
      6620.00     0.730512
      6630.00     0.729885
      6640.00     0.729269
      6650.00     0.728672
      6660.00     0.729018
      6670.00     0.730332
      6680.00     0.731717
      6690.00     0.733160
      6700.00     0.735547
      6710.00     0.737941
      6720.00     0.739406
      6730.00     0.741750
      6740.00     0.743121
      6750.00     0.743510
      6760.00     0.744763
      6770.00     0.745058
      6780.00     0.744412
      6790.00     0.744673
      6800.00     0.744008
      6810.00     0.744258
      6820.00     0.743582
      6830.00     0.743828
      6840.00     0.742703
      6850.00     0.736086
      6860.00     0.707922
      6870.00     0.672743
      6880.00     0.669223
      6890.00     0.682019
      6900.00     0.693353
      6910.00     0.707863
      6920.00     0.719926
      6930.00     0.725232
      6940.00     0.727966
      6950.00     0.730788
      6960.00     0.734887
      6970.00     0.738591
      6980.00     0.739856
      6990.00     0.738131
      7000.00     0.737572
      7010.00     0.737084
      7020.00     0.735027
      7030.00     0.731727
      7040.00     0.726538
      7050.00     0.714277
      7060.00     0.696473
      7070.00     0.668603
      7080.00     0.628455
      7090.00     0.576990
      7100.00     0.513279
      7110.00     0.442064
      7120.00     0.367919
      7130.00     0.298223
      7140.00     0.234876
      7150.00     0.181383
      7160.00     0.138207
      7170.00     0.103013
      7180.00    0.0762589
      7190.00    0.0582526
      7200.00    0.0447960
      7210.00    0.0349964
      7220.00    0.0281335
      7230.00    0.0215803
      7240.00    0.0169041
      7250.00    0.0133591
      7260.00    0.0107349
      7270.00   0.00895978
      7280.00   0.00718703
      7290.00   0.00541057
      7300.00   0.00452245
      7310.00   0.00363558
      7320.00   0.00366516
      7330.00   0.00277004
      7340.00   0.00278137
      7350.00   0.00185646
      7360.00   0.00185699
      7370.00   0.00185932
      7380.00  0.000931330
      7390.00  0.000932615
      7400.00  0.000934052
      7410.00  0.000935306
      7420.00  0.000936110
      7430.00  0.000936784
      7440.00      0.00000
      7450.00      0.00000
      7460.00      0.00000
      7470.00      0.00000
      7480.00      0.00000
      7490.00      0.00000
      7500.00      0.00000
      7510.00      0.00000
      7520.00      0.00000
      7530.00      0.00000
      7540.00      0.00000
      7550.00      0.00000
      7560.00      0.00000
      7570.00      0.00000
