     wave       Aext  
   1250.0      10.28  
   1260.0     10.167  
   1270.0    10.0575  
   1280.0    9.95159  
   1290.0    9.84916  
   1300.0    9.75013  
   1310.0    9.65441  
   1320.0    9.56198  
   1330.0    9.47275  
   1340.0    9.38663  
   1350.0    9.30359  
   1360.0    9.22359  
   1370.0    9.14656  
   1380.0    9.07245  
   1390.0    9.00123  
   1400.0    8.93284  
   1410.0    8.86721  
   1420.0    8.80425  
   1430.0    8.74395  
   1440.0    8.68627  
   1450.0     8.6312  
   1460.0     8.5787  
   1470.0    8.52867  
   1480.0    8.48103  
   1490.0    8.43579  
   1500.0    8.39298  
   1510.0    8.35254  
   1520.0    8.31438  
   1530.0    8.27849  
   1540.0    8.24488  
   1550.0    8.21355  
   1560.0    8.18444  
   1570.0    8.15748  
   1580.0     8.1327  
   1590.0    8.11013  
   1600.0    8.08975  
   1610.0    8.07138  
   1620.0    8.05484  
   1630.0    8.03984  
   1640.0    8.02602  
   1650.0    8.01315  
   1660.0    8.00129  
   1670.0    7.99055  
   1680.0    7.98101  
   1690.0    7.97272  
   1700.0    7.96569  
   1710.0    7.95998  
   1720.0    7.95566  
   1730.0    7.95281  
   1740.0    7.95148  
   1750.0    7.95176  
   1760.0     7.9537  
   1770.0     7.9574  
   1780.0    7.96295  
   1790.0    7.97046  
   1800.0    7.98004  
   1810.0    7.99179  
   1820.0    8.00583  
   1830.0    8.02226  
   1840.0    8.04124  
   1850.0    8.06289  
   1860.0    8.08733  
   1870.0    8.11473  
   1880.0    8.14524  
   1890.0    8.17899  
   1900.0    8.21613  
   1910.0    8.25682  
   1920.0    8.30119  
   1930.0    8.34936  
   1940.0    8.40145  
   1950.0    8.45751  
   1960.0    8.51761  
   1970.0     8.5818  
   1980.0    8.64995  
   1990.0    8.72193  
   2000.0     8.7976  
   2010.0    8.87674  
   2020.0    8.95882  
   2030.0    9.04326  
   2040.0     9.1295  
   2050.0    9.21692  
   2060.0    9.30436  
   2070.0    9.39058  
   2080.0    9.47439  
   2090.0    9.55464  
   2100.0    9.62985  
   2110.0    9.69835  
   2120.0    9.75858  
   2130.0    9.80907  
   2140.0    9.84858  
   2150.0    9.87621  
   2160.0    9.89117  
   2170.0    9.89271  
   2180.0    9.88018  
   2190.0    9.85384  
   2200.0    9.81453  
   2210.0    9.76309  
   2220.0    9.70031  
   2230.0    9.62703  
   2240.0    9.54461  
   2250.0     9.4546  
   2260.0    9.35847  
   2270.0    9.25764  
   2280.0    9.15342  
   2290.0    9.04694  
   2300.0    8.93918  
   2310.0    8.83109  
   2320.0    8.72356  
   2330.0    8.61742  
   2340.0    8.51326  
   2350.0    8.41138  
   2360.0    8.31205  
   2370.0    8.21552  
   2380.0    8.12204  
   2390.0     8.0318  
   2400.0    7.94482  
   2410.0    7.86107  
   2420.0    7.78051  
   2430.0    7.70309  
   2440.0    7.62879  
   2450.0    7.55753  
   2460.0     7.4892  
   2470.0    7.42367  
   2480.0    7.36081  
   2490.0    7.30049  
   2500.0     7.2426  
   2510.0    7.18703  
   2520.0    7.13367  
   2530.0    7.08245  
   2540.0    7.03326  
   2550.0    6.98604  
   2560.0    6.94068  
   2570.0    6.89712  
   2580.0    6.85516  
   2590.0    6.81456  
   2600.0    6.77508  
   2610.0    6.73649  
   2620.0    6.69856  
   2630.0    6.66109  
   2640.0     6.6239  
   2650.0    6.58705  
   2660.0    6.55067  
   2670.0    6.51488  
   2680.0     6.4798  
   2690.0    6.44555  
   2700.0    6.41223  
   2710.0    6.37994  
   2720.0    6.34865  
   2730.0     6.3183  
   2740.0    6.28881  
   2750.0    6.26013  
   2760.0    6.23218  
   2770.0    6.20489  
   2780.0    6.17822  
   2790.0    6.15211  
   2800.0    6.12653  
   2810.0    6.10144  
   2820.0    6.07682  
   2830.0    6.05264  
   2840.0    6.02887  
   2850.0    6.00548  
   2860.0    5.98246  
   2870.0    5.95978  
   2880.0    5.93751  
   2890.0    5.91567  
   2900.0    5.89429  
   2910.0    5.87343  
   2920.0    5.85311  
   2930.0    5.83336  
   2940.0    5.81421  
   2950.0    5.79568  
   2960.0     5.7777  
   2970.0    5.76016  
   2980.0    5.74295  
   2990.0    5.72598  
   3000.0    5.70916  
   3010.0     5.6924  
   3020.0    5.67561  
   3030.0    5.65871  
   3040.0    5.64165  
   3050.0    5.62447  
   3060.0    5.60725  
   3070.0    5.59005  
   3080.0    5.57295  
   3090.0    5.55601  
   3100.0     5.5393  
   3110.0    5.52287  
   3120.0    5.50679  
   3130.0    5.49111  
   3140.0    5.47581  
   3150.0    5.46079  
   3160.0    5.44599  
   3170.0     5.4313  
   3180.0    5.41666  
   3190.0    5.40198  
   3200.0    5.38719  
   3210.0    5.37221  
   3220.0    5.35698  
   3230.0    5.34144  
   3240.0    5.32559  
   3250.0    5.30952  
   3260.0    5.29334  
   3270.0    5.27713  
   3280.0      5.261  
   3290.0    5.24501  
   3300.0    5.22926  
   3310.0    5.21383  
   3320.0     5.1988  
   3330.0    5.18424  
   3340.0    5.17021  
   3350.0    5.15669  
   3360.0    5.14362  
   3370.0    5.13092  
   3380.0    5.11853  
   3390.0    5.10637  
   3400.0    5.09439  
   3410.0    5.08252  
   3420.0    5.07071  
   3430.0    5.05889  
   3440.0    5.04701  
   3450.0    5.03502  
   3460.0    5.02289  
   3470.0    5.01063  
   3480.0    4.99827  
   3490.0    4.98584  
   3500.0    4.97334  
   3510.0    4.96082  
   3520.0    4.94829  
   3530.0    4.93576  
   3540.0    4.92327  
   3550.0    4.91082  
   3560.0    4.89844  
   3570.0    4.88615  
   3580.0    4.87396  
   3590.0    4.86186  
   3600.0    4.84984  
   3610.0    4.83789  
   3620.0      4.826  
   3630.0    4.81415  
   3640.0    4.80233  
   3650.0    4.79053  
   3660.0    4.77875  
   3670.0    4.76696  
   3680.0    4.75516  
   3690.0    4.74334  
   3700.0     4.7315  
   3710.0    4.71961  
   3720.0    4.70771  
   3730.0    4.69583  
   3740.0      4.684  
   3750.0    4.67226  
   3760.0    4.66064  
   3770.0    4.64918  
   3780.0    4.63791  
   3790.0    4.62686  
   3800.0    4.61606  
   3810.0    4.60553  
   3820.0    4.59531  
   3830.0    4.58541  
   3840.0    4.57588  
   3850.0    4.56673  
   3860.0    4.55794  
   3870.0    4.54948  
   3880.0    4.54128  
   3890.0    4.53328  
   3900.0    4.52544  
   3910.0     4.5177  
   3920.0    4.51002  
   3930.0    4.50235  
   3940.0    4.49463  
   3950.0    4.48684  
   3960.0    4.47891  
   3970.0    4.47081  
   3980.0    4.46251  
   3990.0    4.45395  
   4000.0     4.4451  
   4010.0    4.43594  
   4020.0     4.4265  
   4030.0    4.41682  
   4040.0    4.40695  
   4050.0    4.39693  
   4060.0     4.3868  
   4070.0    4.37661  
   4080.0    4.36638  
   4090.0    4.35617  
   4100.0      4.346  
   4110.0    4.33591  
   4120.0    4.32594  
   4130.0    4.31612  
   4140.0    4.30648  
   4150.0    4.29705  
   4160.0    4.28787  
   4170.0    4.27896  
   4180.0    4.27034  
   4190.0    4.26197  
   4200.0    4.25382  
   4210.0    4.24588  
   4220.0    4.23811  
   4230.0    4.23048  
   4240.0    4.22298  
   4250.0    4.21558  
   4260.0    4.20825  
   4270.0    4.20097  
   4280.0    4.19371  
   4290.0    4.18646  
   4300.0     4.1792  
   4310.0     4.1719  
   4320.0    4.16454  
   4330.0     4.1571  
   4340.0    4.14957  
   4350.0    4.14193  
   4360.0    4.13413  
   4370.0    4.12607  
   4380.0    4.11768  
   4390.0    4.10885  
   4400.0    4.09949  
   4410.0    4.08955  
   4420.0    4.07909  
   4430.0     4.0682  
   4440.0    4.05695  
   4450.0    4.04543  
   4460.0    4.03372  
   4470.0    4.02189  
   4480.0    4.01003  
   4490.0    3.99819  
   4500.0    3.98645  
   4510.0    3.97488  
   4520.0    3.96354  
   4530.0    3.95251  
   4540.0    3.94184  
   4550.0     3.9316  
   4560.0    3.92179  
   4570.0    3.91239  
   4580.0    3.90336  
   4590.0    3.89466  
   4600.0    3.88626  
   4610.0    3.87813  
   4620.0    3.87022  
   4630.0    3.86252  
   4640.0    3.85498  
   4650.0    3.84759  
   4660.0     3.8403  
   4670.0    3.83309  
   4680.0    3.82594  
   4690.0     3.8188  
   4700.0    3.81167  
   4710.0     3.8045  
   4720.0    3.79729  
   4730.0    3.78999  
   4740.0    3.78259  
   4750.0    3.77506  
   4760.0    3.76738  
   4770.0    3.75953  
   4780.0    3.75152  
   4790.0    3.74334  
   4800.0      3.735  
   4810.0    3.72651  
   4820.0    3.71789  
   4830.0    3.70913  
   4840.0    3.70024  
   4850.0    3.69123  
   4860.0     3.6821  
   4870.0    3.67287  
   4880.0    3.66354  
   4890.0     3.6541  
   4900.0    3.64458  
   4910.0    3.63498  
   4920.0    3.62529  
   4930.0    3.61553  
   4940.0     3.6057  
   4950.0    3.59581  
   4960.0    3.58587  
   4970.0    3.57587  
   4980.0    3.56582  
   4990.0    3.55573  
   5000.0     3.5456  
   5010.0    3.53544  
   5020.0    3.52525  
   5030.0    3.51505  
   5040.0    3.50483  
   5050.0    3.49462  
   5060.0     3.4844  
   5070.0     3.4742  
   5080.0    3.46402  
   5090.0    3.45386  
   5100.0    3.44374  
   5110.0    3.43365  
   5120.0    3.42361  
   5130.0    3.41361  
   5140.0    3.40368  
   5150.0    3.39381  
   5160.0      3.384  
   5170.0    3.37427  
   5180.0    3.36462  
   5190.0    3.35505  
   5200.0    3.34557  
   5210.0    3.33619  
   5220.0    3.32691  
   5230.0    3.31773  
   5240.0    3.30866  
   5250.0     3.2997  
   5260.0    3.29087  
   5270.0    3.28215  
   5280.0    3.27355  
   5290.0    3.26506  
   5300.0    3.25668  
   5310.0    3.24839  
   5320.0    3.24019  
   5330.0    3.23207  
   5340.0    3.22403  
   5350.0    3.21605  
   5360.0    3.20814  
   5370.0    3.20028  
   5380.0    3.19247  
   5390.0     3.1847  
   5400.0    3.17697  
   5410.0    3.16927  
   5420.0     3.1616  
   5430.0    3.15394  
   5440.0    3.14629  
   5450.0    3.13866  
   5460.0    3.13103  
   5470.0    3.12339  
   5480.0    3.11575  
   5490.0    3.10809  
   5500.0    3.10042  
   5510.0    3.09274  
   5520.0    3.08507  
   5530.0    3.07745  
   5540.0    3.06992  
   5550.0    3.06253  
   5560.0    3.05532  
   5570.0    3.04828  
   5580.0    3.04142  
   5590.0    3.03473  
   5600.0     3.0282  
   5610.0    3.02182  
   5620.0    3.01558  
   5630.0    3.00948  
   5640.0    3.00351  
   5650.0    2.99767  
   5660.0    2.99193  
   5670.0     2.9863  
   5680.0    2.98077  
   5690.0    2.97533  
   5700.0    2.96997  
   5710.0     2.9647  
   5720.0    2.95949  
   5730.0    2.95435  
   5740.0    2.94927  
   5750.0    2.94425  
   5760.0    2.93926  
   5770.0    2.93432  
   5780.0    2.92942  
   5790.0    2.92454  
   5800.0    2.91968  
   5810.0    2.91485  
   5820.0    2.91002  
   5830.0    2.90521  
   5840.0    2.90039  
   5850.0    2.89557  
   5860.0    2.89074  
   5870.0     2.8859  
   5880.0    2.88105  
   5890.0    2.87617  
   5900.0    2.87126  
   5910.0    2.86634  
   5920.0    2.86139  
   5930.0    2.85643  
   5940.0    2.85144  
   5950.0    2.84644  
   5960.0    2.84143  
   5970.0    2.83639  
   5980.0    2.83134  
   5990.0    2.82628  
   6000.0    2.82121  
   6010.0    2.81612  
   6020.0    2.81103  
   6030.0    2.80592  
   6040.0     2.8008  
   6050.0    2.79568  
   6060.0    2.79054  
   6070.0    2.78541  
   6080.0    2.78026  
   6090.0    2.77511  
   6100.0    2.76996  
   6110.0     2.7648  
   6120.0    2.75964  
   6130.0    2.75447  
   6140.0    2.74931  
   6150.0    2.74414  
   6160.0    2.73898  
   6170.0    2.73382  
   6180.0    2.72865  
   6190.0    2.72349  
   6200.0    2.71833  
   6210.0    2.71318  
   6220.0    2.70803  
   6230.0    2.70288  
   6240.0    2.69774  
   6250.0     2.6926  
   6260.0    2.68747  
   6270.0    2.68234  
   6280.0    2.67722  
   6290.0    2.67211  
   6300.0      2.667  
   6310.0    2.66189  
   6320.0    2.65678  
   6330.0    2.65168  
   6340.0    2.64657  
   6350.0    2.64147  
   6360.0    2.63637  
   6370.0    2.63126  
   6380.0    2.62616  
   6390.0    2.62105  
   6400.0    2.61595  
   6410.0    2.61083  
   6420.0    2.60572  
   6430.0     2.6006  
   6440.0    2.59548  
   6450.0    2.59036  
   6460.0    2.58523  
   6470.0    2.58009  
   6480.0    2.57495  
   6490.0     2.5698  
   6500.0    2.56465  
   6510.0    2.55948  
   6520.0    2.55432  
   6530.0    2.54914  
   6540.0    2.54395  
   6550.0    2.53876  
   6560.0    2.53355  
   6570.0    2.52834  
   6580.0    2.52312  
   6590.0    2.51789  
   6600.0    2.51264  
   6610.0    2.50739  
   6620.0    2.50213  
   6630.0    2.49685  
   6640.0    2.49156  
   6650.0    2.48626  
   6660.0    2.48095  
   6670.0    2.47562  
   6680.0    2.47029  
   6690.0    2.46494  
   6700.0    2.45958  
   6710.0    2.45422  
   6720.0    2.44885  
   6730.0    2.44348  
   6740.0     2.4381  
   6750.0    2.43272  
   6760.0    2.42735  
   6770.0    2.42197  
   6780.0    2.41661  
   6790.0    2.41124  
   6800.0    2.40588  
   6810.0    2.40053  
   6820.0    2.39519  
   6830.0    2.38986  
   6840.0    2.38454  
   6850.0    2.37924  
   6860.0    2.37395  
   6870.0    2.36867  
   6880.0    2.36342  
   6890.0    2.35818  
   6900.0    2.35296  
   6910.0    2.34776  
   6920.0    2.34258  
   6930.0    2.33743  
   6940.0     2.3323  
   6950.0    2.32719  
   6960.0    2.32211  
   6970.0    2.31706  
