WFC3/IR PSF Encircled Energy Fraction vs. Aperture Radius (arcsec)
wl(um):   0.7   0.8   0.9   1.0   1.1   1.2   1.3   1.4   1.5   1.6   1.7
 0.10   0.575 0.549 0.524 0.502 0.484 0.468 0.453 0.438 0.426 0.410 0.394
 0.15   0.736 0.714 0.685 0.653 0.623 0.596 0.575 0.558 0.550 0.539 0.531
 0.20   0.802 0.794 0.780 0.762 0.739 0.712 0.683 0.653 0.631 0.608 0.590
 0.25   0.831 0.827 0.821 0.813 0.804 0.792 0.776 0.756 0.735 0.708 0.679
 0.30   0.850 0.845 0.838 0.833 0.828 0.822 0.816 0.808 0.803 0.789 0.770
 0.40   0.878 0.876 0.869 0.859 0.850 0.845 0.841 0.838 0.840 0.836 0.832
 0.50   0.899 0.894 0.889 0.884 0.878 0.868 0.858 0.852 0.854 0.850 0.848
 0.60   0.916 0.913 0.904 0.897 0.893 0.889 0.883 0.875 0.870 0.863 0.859
 0.80   0.937 0.936 0.929 0.924 0.918 0.909 0.903 0.900 0.903 0.900 0.895
 1.00   0.951 0.951 0.946 0.941 0.935 0.930 0.925 0.920 0.917 0.912 0.909
 1.50   0.967 0.969 0.967 0.965 0.963 0.959 0.954 0.951 0.952 0.948 0.943
 2.00   0.974 0.977 0.976 0.975 0.973 0.972 0.969 0.967 0.970 0.967 0.963
 
WFC3/IR PSF Ensquared Energy Fraction vs. Aperture Size (px)
wl(um):   0.7   0.8   0.9   1.0   1.1   1.2   1.3   1.4   1.5   1.6   1.7
    1   0.435 0.417 0.398 0.381 0.365 0.348 0.331 0.314 0.299 0.283 0.267
    2   0.728 0.707 0.679 0.648 0.618 0.592 0.571 0.554 0.545 0.534 0.524
    3   0.815 0.811 0.802 0.790 0.776 0.757 0.733 0.706 0.682 0.655 0.631
    5   0.872 0.868 0.858 0.849 0.844 0.840 0.836 0.830 0.830 0.826 0.821
    7   0.905 0.900 0.894 0.888 0.882 0.872 0.862 0.855 0.856 0.854 0.852
    9   0.927 0.924 0.917 0.909 0.904 0.898 0.893 0.888 0.886 0.876 0.868
   11   0.941 0.939 0.934 0.928 0.921 0.914 0.910 0.905 0.905 0.901 0.897
   13   0.951 0.951 0.946 0.941 0.936 0.930 0.924 0.917 0.919 0.915 0.911
   15   0.957 0.958 0.955 0.951 0.946 0.942 0.936 0.931 0.931 0.925 0.921
   17   0.961 0.963 0.962 0.958 0.955 0.950 0.945 0.942 0.942 0.938 0.933
   19   0.964 0.967 0.966 0.964 0.961 0.958 0.954 0.949 0.951 0.947 0.942
   21   0.967 0.969 0.969 0.967 0.965 0.963 0.960 0.956 0.957 0.953 0.950
   23   0.970 0.972 0.971 0.970 0.969 0.967 0.964 0.961 0.964 0.960 0.956
   25   0.972 0.974 0.973 0.972 0.971 0.970 0.968 0.965 0.968 0.965 0.962
   51   0.993 0.993 0.991 0.990 0.988 0.987 0.986 0.985 0.988 0.987 0.986
  101   0.998 0.999 0.998 0.998 0.997 0.997 0.996 0.996 0.998 0.997 0.997
 
WFC3/IR PSF Sharpness
wl(um):   0.7   0.8   0.9   1.0   1.1   1.2   1.3   1.4   1.5   1.6   1.7
Ctr'd   0.213 0.197 0.182 0.169 0.156 0.144 0.132 0.121 0.112 0.102 0.093
Cornr   0.134 0.127 0.118 0.109 0.100 0.093 0.087 0.083 0.080 0.077 0.074
 
WFC3/IR PSF FWHM (px, arcsec)
wl(um):   0.7   0.8   0.9   1.0   1.1   1.2   1.3   1.4   1.5   1.6   1.7
        0.953 0.971 0.986 1.001 1.019 1.040 1.067 1.100 1.136 1.176 1.219
        0.122 0.124 0.126 0.128 0.130 0.133 0.137 0.141 0.145 0.151 0.156
