specname                    src    fwhm
sdssj010322-20131129.flm    G      10
sdssj010322-20151011.flm    M     6.7
sdssj041053-20131207.flm    G      10
sdssj041053-20150124.flm    M      6
sdssj163800-20130408.flm    G      12
sdssj163800-20150518.flm    M      8
sdssj111127-20150124.flm    M      6
sdssj111127-20150518.flm    M      8
sdssj155745-20150124.flm    M      6
sdssj155745-20150518.flm    M      8
sdssj072752-20150124.flm    M      6
sdssj235144-20150518.flm    M      8
sdssj235144-20150915.flm    G     6.5
sdssj235144-20151011.flm    M     6.7
sdssj111059-20150124.flm    M      6
sdssj111059-20150518.flm    G      8
sdssj131445-20130309.flm    G      12
sdssj131445-20150124.flm    M      6
sdssj131445-20150518.flm    M      8
sdssj102430-20130215.flm    G      12
sdssj203722-20140719.flm    G      10
sdssj203722-20151012.flm    M     6.7
sdssj121405-20150218.flm    G     6.5
sdssj121405-20150518.flm    M      8
sdssj024854-20150917.flm    G     6.5
sdssj024854-20151011.5.flm  M     6.7
sdssj081508-20130214.flm    G      12
sdssj081508-20150124.flm    M      6
sdssj181424-20150427.flm    G      8
sdssj181424-20150518.flm    M      8
sdssj172135-20130604.flm    G      12
sdssj172135-20150518.flm    M      8
sdssj151421-20130317.flm    G      12
sdssj210150-20140720.flm    G      10
sdssj210150-20150518.flm    M      8
sdssj210150-20151011.5.flm  M     6.7
sdssj130234-20130215.flm    G      12
sdssj120650-20130310.flm    G      12
wd0554-20140904.flm         I     5.7
wd0554-20150124.flm         M      6
sdssj232941-20150917.flm    G     6.7
sdssj232941-20151011.flm    M     6.7
sdssj022817-20131013.flm    G      10
g191b2b-20150124.flm        M      6
gd153-20150518.flm          M      8
gd71-20150124.flm           M      6
